year,annual_precip
1950,13.49
1951,17.5
1952,15.14
1953,12.32
1954,12.43
1955,13.63
1956,12.39
1957,18.44
1958,10.72
1959,13.82
1960,12.370000000000001
1961,11.75
1962,14.9
1963,14.09
1964,17.87
1965,18.43
1966,8.99
1967,16.52
1968,21.11
1969,16.09
1970,19.87
1971,18.79
1972,15.74
1973,20.39
1974,14.46
1975,17.92
1976,12.34
1977,17.669999999999998
1978,18.09
1979,8.7
1980,17.19
1981,16.59
1982,22.86
1983,24.26
1984,21.55
1985,16.97
1986,19.4
1987,12.5
1988,9.290000000000001
1989,10.87
1990,10.69
1991,17.79
1992,12.07
1993,18.87
1994,15.28
1995,16.919999999999998
1996,17.31
1997,16.93
1998,23.81
1999,13.51
2000,16.34
2001,15.040000000000001
2002,10.29
2003,15.95
2004,14.89
2005,16.88
2006,16.14
2007,13.36
2008,11.74
2009,15.85
2010,18.69
2011,19.14
2012,12.66
2013,11.620000000000001
2014,14.46
2015,16.14
2016,14.84
2017,16.0
2018,13.21
2019,20.1
2020,8.98
2021,15.34
2022,12.57
2023,17.64
2024,14.780000000000001
