Unnamed: 0,date,year,month,elevation_ft,monthly_precip_inches,snow_water_equiv_in,elev_ft_NGVD29,volume_acreft,area_acre,area_acre_prior,prior_month_vol_acft,precip_acreft,TOTAL_INFLOW_cfs_acft,evaporation_acreft
1,1950-02-01,1950,2,4197.4,1.19,,4197.4,13231625.08,879251.73,864498.36,13013628.81,85729.4207,330234.8985,197968.04920000024
2,1950-03-01,1950,3,4197.9,0.98,,4197.9,13677742.99,905185.46,879251.73,13231625.08,71805.55795,378388.328,4075.975949998945
3,1950-04-01,1950,4,4198.15,1.29,,4198.15,13905660.5,918138.01,905185.46,13677742.99,97307.43694999999,607916.9645,477306.8914500009
4,1950-05-01,1950,5,4198.35,2.18,,4198.35,14090506.69,928507.42,918138.01,13905660.5,166795.07181666666,811463.7345,793412.6163166668
5,1950-06-01,1950,6,4198.8,0.16,,4198.8,14513327.2,951733.99,928507.42,14090506.69,12380.098933333335,571448.3335000002,161007.92243333347
6,1950-07-01,1950,7,4198.65,1.06,,4198.65,14371227.16,944042.91,951733.99,14513327.2,84069.83578333333,274397.39,500567.2657833323
7,1950-08-01,1950,8,4198.3,0.03,,4198.3,14043873.91,925946.42,944042.91,14371227.16,2360.1072750000003,191770.7305,521484.08777499944
8,1950-09-01,1950,9,4197.9,1.73,,4197.9,13677742.99,905185.46,925946.42,14043873.91,133490.60888333333,223824.0905,723445.6193833333
9,1950-10-01,1950,10,4197.55,0.5800000000000001,,4197.55,13364025.42,887087.57,905185.46,13677742.99,43750.63056666667,324006.7085,681474.9090666659
10,1950-11-01,1950,11,4197.6,2.0,,4197.6,13408702.17,889570.05,887087.57,13364025.42,147847.92833333332,335838.2860000001,439009.4643333331
11,1950-12-01,1950,12,4197.9,0.49,,4197.9,13677742.99,905185.46,889570.05,13408702.17,36324.110375000004,384457.838,151741.1283749994
12,1951-01-01,1951,1,4198.3,1.6900000000000002,,4198.3,14043873.91,925946.42,905185.46,13677742.99,127480.28561666666,368931.0,130280.36561666615
13,1951-02-01,1951,2,4198.5,0.64,,4198.5,14230286.54,936381.99,925946.42,14043873.91,49383.80906666667,423110.3025,286081.48156666756
14,1951-03-01,1951,3,4198.95,1.26,,4198.95,14657010.36,959088.34,936381.99,14230286.54,98320.10895,446585.025,118181.31395000033
15,1951-04-01,1951,4,4199.2,2.6,,4199.2,14898211.77,970473.32,959088.34,14657010.36,207802.47366666666,611598.3405,578199.4041666668
16,1951-05-01,1951,5,4199.45,0.87,,4199.45,15142218.2,981546.78,970473.32,14898211.77,70359.31569999999,688681.1174999999,515034.00320000015
17,1951-06-01,1951,6,4199.9,0.09,,4199.9,15588197.28,1002131.65,981546.78,15142218.2,7361.60085,264801.217,-173816.26215000078
18,1951-07-01,1951,7,4199.55,2.17,,4199.55,15240210.22,986042.85,1002131.65,15588197.28,181218.80670833332,131581.423,660787.2897083331
19,1951-08-01,1951,8,4199.15,1.79,,4199.15,14849459.11,968281.78,986042.85,15240210.22,147084.725125,202126.58400000003,739962.4191250019
20,1951-09-01,1951,9,4198.85,0.0,,4198.85,14561254.0,954273.06,968281.78,14849459.11,0.0,187141.2415,475346.35149999894
21,1951-10-01,1951,10,4198.45,1.9,,4198.45,14183715.32,933750.38,954273.06,14561254.0,151093.2345,271622.47349999996,800254.3880000003
22,1951-11-01,1951,11,4198.35,1.59,,4198.35,14090506.69,928507.42,933750.38,14183715.32,123721.92535,271747.434,488677.9893500004
23,1951-12-01,1951,12,4198.55,2.9,,4198.55,14276984.71,938875.2,928507.42,14090506.69,224389.29316666667,310157.9115,348069.1846666653
24,1952-01-01,1952,1,4198.8,2.2,,4198.8,14513327.2,951733.99,938875.2,14276984.71,172127.12,351904.63599999994,287689.26600000076
25,1952-02-01,1952,2,4199.2,1.84,,4199.2,14898211.77,970473.32,951733.99,14513327.2,145932.54513333333,333946.027,94994.00213333406
26,1952-03-01,1952,3,4199.5,3.56,,4199.5,15191158.1,983737.08,970473.32,14898211.77,287907.08493333333,420829.2775000001,415790.0324333329
27,1952-04-01,1952,4,4200.05,1.86,,4200.05,15739920.3,1027830.01,983737.08,15191158.1,152479.2474,909819.549,513536.59640000015
28,1952-05-01,1952,5,4200.6,1.07,,4200.6,16313053.64,1056770.48,1027830.01,15739920.3,91648.17589166667,1031695.3098,550210.1456916668
29,1952-06-01,1952,6,4200.95,1.07,,4200.95,16686316.33,1075491.28,1056770.48,16313053.64,94228.70113333334,418056.34449999995,139022.3556333352
30,1952-07-01,1952,7,4200.75,1.09,,4200.75,16472048.76,1064499.26,1075491.28,16686316.33,97690.45793333334,161091.93600000002,473049.9639333319
31,1952-08-01,1952,8,4200.4,0.19,,4200.4,16102571.02,1043601.84,1064499.26,16472048.76,16854.571616666668,150027.973,536360.2846166659
32,1952-09-01,1952,9,4199.9,0.02,,4199.9,15588197.28,1002131.65,1043601.84,16102571.02,1739.3364000000001,161934.92350000003,678047.9999000002
