Unnamed: 0,date,year,month,elevation_ft,monthly_precip_inches,snow_water_equiv_in,elev_ft_NGVD29,volume_km3,area_acre,area_acre_prior,prior_month_vol_km3,precip_km3,inflow_km3,evaporation_km3
1,1950-02-01,1950,2,4197.4,1.19,,4197.4,16.3209449036784,879251.73,864498.36,16.0520508645588,0.105745525845036,0.40733814260178003,0.2441896293272163
2,1950-03-01,1950,3,4197.9,0.98,,4197.9,16.871222423305202,905185.46,879251.73,16.3209449036784,0.08857071962016601,0.46673443482144,0.005027634814804699
3,1950-04-01,1950,4,4198.15,1.29,,4198.15,17.15235411354,918138.01,905185.46,16.871222423305202,0.12002677732908598,0.74985341737146,0.5887485044657471
4,1950-05-01,1950,5,4198.35,2.18,,4198.35,17.3803581919812,928507.42,918138.01,17.15235411354,0.205738385184422,1.00092428723106,0.9786585939742822
5,1950-06-01,1950,6,4198.8,0.16,,4198.8,17.901898834656,951733.99,928507.42,17.3803581919812,0.015270604432288002,0.7048700904055802,0.19860005216306817
6,1950-07-01,1950,7,4198.65,1.06,,4198.65,17.7266212773168,944042.91,951733.99,17.901898834656,0.103698461042026,0.3384636926172,0.6174397109984248
7,1950-08-01,1950,8,4198.3,0.03,,4198.3,17.3228375905068,925946.42,944042.91,17.7266212773168,0.0029111451215670004,0.23654536065714002,0.6432401925887063
8,1950-09-01,1950,9,4197.9,1.73,,4197.9,16.871222423305202,905185.46,925946.42,17.3228375905068,0.164657996245414,0.27608253914993997,0.8923557025969538
9,1950-10-01,1950,10,4197.55,0.5800000000000001,,4197.55,16.4842580750616,887087.57,905185.46,16.871222423305202,0.053965527791372,0.39965579480058,0.840585670835551
10,1950-11-01,1950,11,4197.6,2.0,,4197.6,16.5393659526516,889570.05,887087.57,16.4842580750616,0.18236746264059997,0.4142498090152801,0.5415093940658797
11,1950-12-01,1950,12,4197.9,0.49,,4197.9,16.871222423305202,905185.46,889570.05,16.5393659526516,0.044805063665355006,0.47422105401624,0.18716964702799424
12,1951-01-01,1951,1,4198.3,1.6900000000000002,,4198.3,17.3228375905068,925946.42,905185.46,16.871222423305202,0.157244382702446,0.45506900988,0.16069822538084536
13,1951-02-01,1951,2,4198.5,0.64,,4198.5,17.552773841359198,936381.99,925946.42,17.3228375905068,0.060913940807552004,0.5218980959277,0.3528757858828531
14,1951-03-01,1951,3,4198.95,1.26,,4198.95,18.0791291388528,959088.34,936381.99,17.552773841359198,0.12127588798764599,0.550853696637,0.1457742871310464
15,1951-04-01,1951,4,4199.2,2.6,,4199.2,18.3766462540596,970473.32,959088.34,18.0791291388528,0.25632019521835997,0.7543943210399401,0.7131974010515002
16,1951-05-01,1951,5,4199.45,0.87,,4199.45,18.677623305336,981546.78,970473.32,18.3766462540596,0.08678680872963598,0.8494743848138999,0.6352841422671361
17,1951-06-01,1951,6,4199.9,0.09,,4199.9,19.227729580934398,1002131.65,981546.78,18.677623305336,0.009080387416458,0.32662700514516,-0.21439888303678295
