date,"Bear River (primary, near Corinne)_acft",Bear River (upstream gap-fill)_acft,Weber River (near Plain City)_acft,Jordan River (Surplus Canal)_acft,Jordan River (1700 South)_acft,TOTAL_INFLOW_cfs_acft
1950-01-01,133687.9,127146.31700000001,35006.79150000001,8269.2115,7289.362500000001,311399.5825
1950-02-01,144101.27500000002,130375.455,36621.3605,11994.224500000002,7142.583500000001,330234.8985
1950-03-01,161080.035,137952.425,60738.737,11591.574,7025.557000000001,378388.32800000004
1950-04-01,228618.21000000002,215983.315,144858.972,11311.9005,7144.567,607916.9645
1950-05-01,288876.94,270132.865,230403.36,14786.9925,7263.577000000001,811463.7345
1950-06-01,220446.19,204439.345,123647.42300000001,15227.329500000002,7688.045999999999,571448.3335000002
1950-07-01,128362.2025,114927.957,12196.5415,8971.3705,9939.318500000001,274397.39
1950-08-01,87752.02350000001,83213.7755,3038.722,7370.686,10395.5235,191770.7305
1950-09-01,102003.471,94608.98300000001,5347.516,8665.9115,13198.209,223824.09050000002
1950-10-01,146818.66999999998,141621.9,16591.9775,6799.438,12174.723,324006.7085
1950-11-01,150190.62,140689.65500000003,27076.758500000004,8903.9315,8977.321000000002,335838.2860000001
1950-12-01,166534.66,161078.0515,40419.763,7162.418500000001,9262.945000000002,384457.838
1951-01-01,164134.625,154415.47500000003,36601.5255,5147.1825,8632.192,368931.0
1951-02-01,194759.86500000002,167472.8555,48565.9975,5460.5755,6851.009000000001,423110.3025
1951-03-01,188273.82,176987.70500000002,66381.7945,7826.891,7114.8145,446585.02499999997
1951-04-01,226674.38,214257.67,157331.22,6511.830500000001,6823.240000000002,611598.3405
1951-05-01,243157.265,226575.205,194025.97,16752.641,8170.0365,688681.1174999999
1951-06-01,99573.6835,90883.97,52626.222,13533.420500000002,8183.921,264801.217
1951-07-01,56240.159,48437.07,5097.595,12551.588,9255.011,131581.423
1951-08-01,89449.8995,80811.757,10482.797499999999,12438.5285,8943.601499999999,202126.58400000003
1951-09-01,85605.87650000001,78274.86050000001,4940.8985,9219.308,9100.298,187141.2415
