date,year,month,elevation_ft,monthly_precip_in,snow_water_equiv_in,volume_acft,SA_ac,SA_prior_month_ac,prior_month_vol_acft,precip_acft,total_inflow_cfs_acft,evaporation_acft,bear_river_acft,weber_river_acft,jordan_river_surplus_acft,jordan_river_1700_acft
1950-02-01,1950,2,4197.4,1.19,,13231625.08,879251.73,864498.36,13013628.81,85729.4207,330234.8985,197968.04920000024,144101.27500000002,36621.3605,11994.224500000002,7142.583500000001
1950-03-01,1950,3,4197.9,0.98,,13677742.99,905185.46,879251.73,13231625.08,71805.55795,378388.328,4075.975949998945,161080.035,60738.737,11591.574,7025.557000000001
1950-04-01,1950,4,4198.15,1.29,,13905660.5,918138.01,905185.46,13677742.99,97307.43695,607916.9645,477306.8914500009,228618.21,144858.972,11311.9005,7144.567
1950-05-01,1950,5,4198.35,2.18,,14090506.69,928507.42,918138.01,13905660.5,166795.07181666666,811463.7345,793412.6163166668,288876.94,230403.36,14786.9925,7263.577000000001
1950-06-01,1950,6,4198.8,0.16,,14513327.2,951733.99,928507.42,14090506.69,12380.098933333336,571448.3335000002,161007.92243333347,220446.19,123647.423,15227.329500000002,7688.045999999999
1950-07-01,1950,7,4198.65,1.06,,14371227.16,944042.91,951733.99,14513327.2,84069.83578333333,274397.39,500567.2657833323,128362.2025,12196.5415,8971.3705,9939.3185
1950-08-01,1950,8,4198.3,0.03,,14043873.91,925946.42,944042.91,14371227.16,2360.1072750000003,191770.7305,521484.08777499944,87752.02350000001,3038.722,7370.686,10395.5235
1950-09-01,1950,9,4197.9,1.73,,13677742.99,905185.46,925946.42,14043873.91,133490.60888333333,223824.0905,723445.6193833333,102003.471,5347.516,8665.9115,13198.209
1950-10-01,1950,10,4197.55,0.5800000000000001,,13364025.42,887087.57,905185.46,13677742.99,43750.63056666667,324006.7085,681474.9090666659,146818.66999999998,16591.9775,6799.438,12174.723
1950-11-01,1950,11,4197.6,2.0,,13408702.17,889570.05,887087.57,13364025.42,147847.92833333332,335838.2860000001,439009.4643333331,150190.62,27076.758500000004,8903.9315,8977.321000000002
1950-12-01,1950,12,4197.9,0.49,,13677742.99,905185.46,889570.05,13408702.17,36324.110375,384457.838,151741.1283749994,166534.66,40419.763,7162.418500000001,9262.945000000002
1951-01-01,1951,1,4198.3,1.6900000000000002,,14043873.91,925946.42,905185.46,13677742.99,127480.28561666666,368931.0,130280.36561666615,164134.625,36601.5255,5147.1825,8632.192
1951-02-01,1951,2,4198.5,0.64,,14230286.54,936381.99,925946.42,14043873.91,49383.80906666667,423110.3025,286081.48156666756,194759.865,48565.9975,5460.5755,6851.009000000001
1951-03-01,1951,3,4198.95,1.26,,14657010.36,959088.34,936381.99,14230286.54,98320.10895,446585.025,118181.31395000032,188273.82,66381.7945,7826.891,7114.8145
1951-04-01,1951,4,4199.2,2.6,,14898211.77,970473.32,959088.34,14657010.36,207802.47366666663,611598.3405,578199.4041666668,226674.38,157331.22,6511.830500000001,6823.240000000002
1951-05-01,1951,5,4199.45,0.87,,15142218.2,981546.78,970473.32,14898211.77,70359.31569999999,688681.1174999999,515034.00320000015,243157.265,194025.97,16752.641,8170.0365
1951-06-01,1951,6,4199.9,0.09,,15588197.28,1002131.65,981546.78,15142218.2,7361.60085,264801.217,-173816.26215000078,99573.6835,52626.222,13533.420500000002,8183.921
1951-07-01,1951,7,4199.55,2.17,,15240210.22,986042.85,1002131.65,15588197.28,181218.80670833332,131581.423,660787.2897083331,56240.159,5097.595,12551.588,9255.011
1951-08-01,1951,8,4199.15,1.79,,14849459.11,968281.78,986042.85,15240210.22,147084.725125,202126.58400000003,739962.4191250019,89449.8995,10482.7975,12438.5285,8943.601499999999
1951-09-01,1951,9,4198.85,0.0,,14561254.0,954273.06,968281.78,14849459.11,0.0,187141.2415,475346.35149999894,85605.87650000001,4940.8985,9219.308,9100.298
1951-10-01,1951,10,4198.45,1.9,,14183715.32,933750.38,954273.06,14561254.0,151093.2345,271622.47349999996,800254.3880000003,119029.835,24182.832,10691.065,9300.6315
1951-11-01,1951,11,4198.35,1.59,,14090506.69,928507.42,933750.38,14183715.32,123721.92535,271747.434,488677.9893500004,123929.08,23671.089,7584.904000000001,7291.346
1951-12-01,1951,12,4198.55,2.9,,14276984.71,938875.2,928507.42,14090506.69,224389.29316666667,310157.9115,348069.1846666653,133053.18000000002,31787.571000000004,12335.386500000002,8616.324
1952-01-01,1952,1,4198.8,2.2,,14513327.2,951733.99,938875.2,14276984.71,172127.12,351904.63599999994,287689.26600000076,148960.85,34020.992,21973.213000000003,8808.7235
1952-02-01,1952,2,4199.2,1.84,,14898211.77,970473.32,951733.99,14513327.2,145932.54513333333,333946.027,94994.00213333406,138448.30000000002,36232.5945,22590.0815,12349.271
1952-03-01,1952,3,4199.5,3.56,,15191158.1,983737.08,970473.32,14898211.77,287907.08493333333,420829.2775000001,415790.0324333329,160108.12000000002,64658.13299999999,32769.4035,15840.231000000002
1952-04-01,1952,4,4200.05,1.86,,15739920.3,1027830.01,983737.08,15191158.1,152479.2474,909819.549,513536.59640000015,338980.15,206224.495,40554.641,14931.788000000002
1952-05-01,1952,5,4200.6,1.07,,16313053.64,1056770.48,1027830.01,15739920.3,91648.17589166667,1031695.3098,550210.1456916668,299369.655,381308.04,75091.34300000001,3155.3518
1952-06-01,1952,6,4200.95,1.07,,16686316.33,1075491.28,1056770.48,16313053.64,94228.70113333334,418056.34449999995,139022.3556333352,120991.5165,108604.55900000002,72243.037,9637.8265
1952-07-01,1952,7,4200.75,1.09,,16472048.76,1064499.26,1075491.28,16686316.33,97690.45793333334,161091.93600000002,473049.9639333319,58118.533500000005,11567.772,31426.574000000004,10082.1305
1952-08-01,1952,8,4200.4,0.19,,16102571.02,1043601.84,1064499.26,16472048.76,16854.571616666668,150027.973,536360.2846166659,62242.23,5904.879499999999,17849.5165,9891.7145
1952-09-01,1952,9,4199.9,0.02,,15588197.28,1002131.65,1043601.84,16102571.02,1739.3364,161934.92350000003,678047.9999000002,71604.35,4746.5155,12884.816,9030.875500000002
1952-10-01,1952,10,4199.55,0.0,,15240210.22,986042.85,1002131.65,15588197.28,0.0,213730.05900000004,561717.118999999,90858.18450000002,7156.468000000002,19081.27,13579.041
1952-11-01,1952,11,4199.4,1.08,,15092909.92,979291.94,986042.85,15240210.22,88743.85650000001,261020.66599999997,497064.8224999998,105224.675,20441.951,30081.761,13222.011
1952-12-01,1952,12,4199.35,1.16,,15044189.9,977159.88,979291.94,15092909.92,94664.88753333333,315515.34500000003,458900.2525333334,121469.54,25004.001,44692.222,10853.712
1953-01-01,1953,1,4199.6,2.73,,15289856.82,988239.63,977159.88,15044189.9,222303.8727,351490.08450000006,328127.03720000014,137873.08500000002,32265.594500000003,50954.1315,9264.9285
1953-02-01,1953,2,4200.05,0.39,,15739920.3,1027830.01,988239.63,15289856.82,32117.787975000003,296906.14800000004,-121039.54402500018,112999.995,25355.0805,46050.9195,5807.687999999999
1953-03-01,1953,3,4200.2,0.86,,15895026.19,1034869.34,1027830.01,15739920.3,73661.15071666667,321729.6505,240284.91121666692,116728.975,36062.0135,49438.7375,8880.129500000001
1953-04-01,1953,4,4200.3,2.77,,15998327.28,1039305.06,1034869.34,15895026.19,238882.33931666665,354516.90550000005,490098.1548166666,126448.125,51257.607,46044.969,8463.5945
1953-05-01,1953,5,4200.5,1.05,,16207528.07,1051773.52,1039305.06,15998327.28,90939.19275000002,321928.3972,203666.79994999804,104913.2655,87389.043,30662.9265,4139.9612
1953-06-01,1953,6,4200.55,0.51,,16259970.7,1054165.31,1051773.52,16207528.07,44700.3746,361070.3895000001,353328.1341000013,118442.719,99468.558,32941.968,4324.030000000001
1953-07-01,1953,7,4200.5,0.81,,16207528.07,1051773.52,1054165.31,16259970.7,71156.158425,38763.5405,162362.32892499864,10925.118,3838.0725,11668.9305,7951.8515
1953-08-01,1953,8,4200.0,0.88,,15688788.29,1025501.15,1051773.52,16207528.07,77130.05813333334,49692.62550000001,645562.4636333343,15860.066,3215.2535,13174.407,7198.1215
1953-09-01,1953,9,4199.35,0.13,,15044189.9,977159.88,1025501.15,15688788.29,11109.595791666668,50952.148,706660.1337916646,15116.2535,4068.1585,12476.214999999998,8782.938
1953-10-01,1953,10,4198.95,0.32,,14657010.36,959088.34,977159.88,15044189.9,26057.596800000003,110375.8245,523612.96130000055,43694.5215,8608.39,12347.2875,10516.517
1953-11-01,1953,11,4198.75,0.96,,14465987.72,949195.14,959088.34,14657010.36,76727.0672,156898.817,424648.524199998,67135.52449999998,14447.814000000002,9243.11,9112.199
1953-12-01,1953,12,4198.75,0.91,,14465987.72,949195.14,949195.14,14465987.72,71980.63145,166003.08200000002,237983.7134499997,69097.206,13033.5785,13670.282,11270.247
1954-01-01,1954,1,4198.8,0.8999999999999999,,14513327.2,951733.99,949195.14,14465987.72,71189.6355,177211.8405,201061.99600000307,73220.9025,15998.911,14751.2895,10209.0745
1954-02-01,1954,2,4199.05,0.81,,14752769.3,963700.57,951733.99,14513327.2,64242.044325,181877.0325,6676.976824998856,72487.00749999999,19515.6565,12734.07,10484.781
1954-03-01,1954,3,4199.15,1.5,,14849459.11,968281.78,963700.57,14752769.3,120462.57125,233501.58700000003,257274.3482499998,92748.46,23684.973500000004,20223.766,12773.74
1954-04-01,1954,4,4199.3,0.65,,14995102.65,974905.45,968281.78,14849459.11,52448.59641666667,242191.3005,148996.35691666603,104157.552,22611.9,14100.7015,10000.807
1954-05-01,1954,5,4199.35,0.63,,15044189.9,977159.88,974905.45,14995102.65,51182.536125,73458.92249999997,75554.20862499997,31035.8245,2136.2295,10835.8605,9124.1
1954-06-01,1954,6,4199.05,1.83,,14752769.3,963700.57,977159.88,15044189.9,149016.8817,56894.71400000001,497332.1956999991,21138.1595,2013.2525000000005,11494.382499999998,9354.186
1954-07-01,1954,7,4198.85,0.91,,14561254.0,954273.06,963700.57,14752769.3,73080.62655833333,30295.979,294891.90555833466,7541.267,1858.5395,8487.3965,9608.074
1954-08-01,1954,8,4198.35,1.77,,14090506.69,928507.42,954273.06,14561254.0,140755.27635,26067.35535,637569.9417000022,6968.035500000001,1105.0078500000002,6002.070999999999,9857.995
