elevation_ft,date,year,month
4197.15,1950-01-01,1950,1
4197.4,1950-02-01,1950,2
4197.9,1950-03-01,1950,3
4198.15,1950-04-01,1950,4
4198.35,1950-05-01,1950,5
4198.8,1950-06-01,1950,6
4198.65,1950-07-01,1950,7
4198.3,1950-08-01,1950,8
4197.9,1950-09-01,1950,9
4197.55,1950-10-01,1950,10
4197.6,1950-11-01,1950,11
4197.9,1950-12-01,1950,12
4198.3,1951-01-01,1951,1
4198.5,1951-02-01,1951,2
4198.95,1951-03-01,1951,3
4199.2,1951-04-01,1951,4
4199.45,1951-05-01,1951,5
4199.9,1951-06-01,1951,6
4199.55,1951-07-01,1951,7
4199.15,1951-08-01,1951,8
4198.85,1951-09-01,1951,9
4198.45,1951-10-01,1951,10
4198.35,1951-11-01,1951,11
4198.55,1951-12-01,1951,12
4198.8,1952-01-01,1952,1
4199.2,1952-02-01,1952,2
4199.5,1952-03-01,1952,3
4200.05,1952-04-01,1952,4
4200.6,1952-05-01,1952,5
4200.95,1952-06-01,1952,6
4200.75,1952-07-01,1952,7
4200.4,1952-08-01,1952,8
4199.9,1952-09-01,1952,9
4199.55,1952-10-01,1952,10
4199.4,1952-11-01,1952,11
4199.35,1952-12-01,1952,12
4199.6,1953-01-01,1953,1
4200.05,1953-02-01,1953,2
4200.2,1953-03-01,1953,3
4200.3,1953-04-01,1953,4
4200.5,1953-05-01,1953,5
4200.55,1953-06-01,1953,6
4200.5,1953-07-01,1953,7
4200.0,1953-08-01,1953,8
4199.35,1953-09-01,1953,9
4198.95,1953-10-01,1953,10
4198.75,1953-11-01,1953,11
4198.75,1953-12-01,1953,12
4198.8,1954-01-01,1954,1
4199.05,1954-02-01,1954,2
4199.15,1954-03-01,1954,3
4199.3,1954-04-01,1954,4
4199.35,1954-05-01,1954,5
4199.05,1954-06-01,1954,6
4198.85,1954-07-01,1954,7
4198.35,1954-08-01,1954,8
4197.7,1954-09-01,1954,9
4197.35,1954-10-01,1954,10
4197.15,1954-11-01,1954,11
4197.25,1954-12-01,1954,12
4197.3,1955-01-01,1955,1
4197.45,1955-02-01,1955,2
4197.6,1955-03-01,1955,3
4197.85,1955-04-01,1955,4
4198.05,1955-05-01,1955,5
4197.95,1955-06-01,1955,6
4197.8,1955-07-01,1955,7
4197.3,1955-08-01,1955,8
4196.95,1955-09-01,1955,9
4196.55,1955-10-01,1955,10
4196.4,1955-11-01,1955,11
4196.45,1955-12-01,1955,12
4196.85,1956-01-01,1956,1
4197.3,1956-02-01,1956,2
4197.5,1956-03-01,1956,3
4197.6,1956-04-01,1956,4
4197.75,1956-05-01,1956,5
4197.85,1956-06-01,1956,6
4197.5,1956-07-01,1956,7
4197.05,1956-08-01,1956,8
4196.35,1956-09-01,1956,9
4196.0,1956-10-01,1956,10
4195.9,1956-11-01,1956,11
4195.9,1956-12-01,1956,12
4196.15,1957-01-01,1957,1
4196.3,1957-02-01,1957,2
4196.55,1957-03-01,1957,3
4196.75,1957-04-01,1957,4
4197.0,1957-05-01,1957,5
4197.45,1957-06-01,1957,6
4197.4,1957-07-01,1957,7
4196.95,1957-08-01,1957,8
4196.3,1957-09-01,1957,9
4196.0,1957-10-01,1957,10
4195.85,1957-11-01,1957,11
4195.95,1957-12-01,1957,12
4196.15,1958-01-01,1958,1
4196.35,1958-02-01,1958,2
4196.8,1958-03-01,1958,3
4196.95,1958-04-01,1958,4
4197.4,1958-05-01,1958,5
4197.4,1958-06-01,1958,6
4196.95,1958-07-01,1958,7
4196.35,1958-08-01,1958,8
4195.9,1958-09-01,1958,9
4195.5,1958-10-01,1958,10
4195.25,1958-11-01,1958,11
4195.3,1958-12-01,1958,12
4195.5,1959-01-01,1959,1
4195.75,1959-02-01,1959,2
4195.95,1959-03-01,1959,3
4196.0,1959-04-01,1959,4
4196.05,1959-05-01,1959,5
4195.95,1959-06-01,1959,6
4195.7,1959-07-01,1959,7
4195.3,1959-08-01,1959,8
4194.8,1959-09-01,1959,9
4194.5,1959-10-01,1959,10
4194.4,1959-11-01,1959,11
4194.3,1959-12-01,1959,12
4194.5,1960-01-01,1960,1
4194.65,1960-02-01,1960,2
4194.85,1960-03-01,1960,3
4195.3,1960-04-01,1960,4
4195.3,1960-05-01,1960,5
4195.15,1960-06-01,1960,6
4194.75,1960-07-01,1960,7
4194.25,1960-08-01,1960,8
4193.65,1960-09-01,1960,9
4193.35,1960-10-01,1960,10
4193.3,1960-10-15,1960,10
4193.2,1960-11-01,1960,11
4193.2,1960-11-15,1960,11
4193.2,1960-12-01,1960,12
4193.3,1960-12-15,1960,12
4193.35,1961-01-01,1961,1
4193.35,1961-01-15,1961,1
4193.4,1961-02-01,1961,2
4193.5,1961-02-15,1961,2
4193.6,1961-03-01,1961,3
4193.7,1961-03-15,1961,3
4193.8,1961-04-01,1961,4
4193.75,1961-04-15,1961,4
4193.65,1961-05-01,1961,5
4193.55,1961-05-15,1961,5
4193.4,1961-06-01,1961,6
4193.25,1961-06-15,1961,6
4193.05,1961-07-01,1961,7
4192.8,1961-07-15,1961,7
4192.45,1961-08-01,1961,8
4192.25,1961-08-15,1961,8
4191.9,1961-09-01,1961,9
4191.7,1961-09-15,1961,9
4191.7,1961-10-01,1961,10
4191.7,1961-10-15,1961,10
4191.6,1961-11-01,1961,11
4191.6,1961-11-15,1961,11
4191.75,1961-12-01,1961,12
4191.85,1961-12-15,1961,12
4192.0,1962-01-01,1962,1
4192.1,1962-01-15,1962,1
4192.15,1962-02-01,1962,2
4192.25,1962-02-15,1962,2
4192.95,1962-03-01,1962,3
4193.1,1962-03-15,1962,3
4193.3,1962-04-01,1962,4
4193.4,1962-04-15,1962,4
4193.6,1962-05-01,1962,5
4193.65,1962-05-15,1962,5
