#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 766: Snowbird, UT
# 
# Data items provided in this file:
#
# Element Name           Value Type  Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Value       None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Snowbird (766) 
# Utah  SNOTEL Site - 9170 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Mar 6, 2026, 6:52:29 PM GMT-08:00
#
Date,Snowbird (766) Snow Water Equivalent (in) Start of Month Values
Sep 1989,0.0
Oct 1989,0.0
Nov 1989,1.9
Dec 1989,9.4
Jan 1990,11.0
Feb 1990,19.2
Mar 1990,25.4
Apr 1990,32.7
May 1990,34.0
Jun 1990,11.1
Jul 1990,0.0
Aug 1990,0.0
Sep 1990,0.0
Oct 1990,0.0
Nov 1990,0.0
Dec 1990,5.5
Jan 1991,9.8
Feb 1991,16.0
Mar 1991,21.5
Apr 1991,30.9
May 1991,38.9
Jun 1991,29.7
Jul 1991,0.0
Aug 1991,0.0
Sep 1991,0.0
Oct 1991,0.0
Nov 1991,2.9
Dec 1991,9.3
Jan 1992,10.8
Feb 1992,12.4
Mar 1992,18.7
Apr 1992,23.0
May 1992,13.4
Jun 1992,0.0
Jul 1992,0.0
Aug 1992,0.0
Sep 1992,0.0
Oct 1992,0.0
Nov 1992,3.7
Dec 1992,10.9
Jan 1993,17.5
Feb 1993,30.2
Mar 1993,41.1
Apr 1993,48.5
May 1993,57.0
Jun 1993,37.8
Jul 1993,0.0
Aug 1993,0.0
Sep 1993,0.0
Oct 1993,0.0
Nov 1993,0.7
Dec 1993,4.0
Jan 1994,6.3
Feb 1994,12.0
Mar 1994,23.7
Apr 1994,28.7
May 1994,29.0
Jun 1994,0.5
Jul 1994,0.0
Aug 1994,0.0
Sep 1994,0.0
Oct 1994,0.0
Nov 1994,1.9
Dec 1994,11.7
Jan 1995,15.9
Feb 1995,28.0
Mar 1995,34.6
Apr 1995,50.1
May 1995,54.9
Jun 1995,51.9
Jul 1995,17.4
Aug 1995,0.0
Sep 1995,0.0
Oct 1995,0.0
Nov 1995,0.4
Dec 1995,5.2
Jan 1996,11.4
Feb 1996,26.4
Mar 1996,35.7
Apr 1996,44.5
May 1996,50.2
Jun 1996,31.8
Jul 1996,0.0
Aug 1996,0.0
Sep 1996,0.0
Oct 1996,0.0
Nov 1996,3.5
Dec 1996,8.0
Jan 1997,21.3
Feb 1997,38.0
Mar 1997,46.0
Apr 1997,52.6
May 1997,57.2
Jun 1997,27.3
Jul 1997,0.0
Aug 1997,0.0
Sep 1997,0.0
Oct 1997,0.0
Nov 1997,3.1
