,Date,snow_water_equiv_in,year,month
0,1989-09-01,0.0,1989,9
1,1989-10-01,0.0,1989,10
2,1989-11-01,1.9,1989,11
3,1989-12-01,9.4,1989,12
4,1990-01-01,11.0,1990,1
5,1990-02-01,19.2,1990,2
6,1990-03-01,25.4,1990,3
7,1990-04-01,32.7,1990,4
8,1990-05-01,34.0,1990,5
9,1990-06-01,11.1,1990,6
10,1990-07-01,0.0,1990,7
11,1990-08-01,0.0,1990,8
12,1990-09-01,0.0,1990,9
13,1990-10-01,0.0,1990,10
14,1990-11-01,0.0,1990,11
15,1990-12-01,5.5,1990,12
16,1991-01-01,9.8,1991,1
17,1991-02-01,16.0,1991,2
18,1991-03-01,21.5,1991,3
19,1991-04-01,30.9,1991,4
20,1991-05-01,38.9,1991,5
21,1991-06-01,29.7,1991,6
22,1991-07-01,0.0,1991,7
23,1991-08-01,0.0,1991,8
24,1991-09-01,0.0,1991,9
25,1991-10-01,0.0,1991,10
26,1991-11-01,2.9,1991,11
27,1991-12-01,9.3,1991,12
28,1992-01-01,10.8,1992,1
29,1992-02-01,12.4,1992,2
30,1992-03-01,18.7,1992,3
31,1992-04-01,23.0,1992,4
32,1992-05-01,13.4,1992,5
33,1992-06-01,0.0,1992,6
34,1992-07-01,0.0,1992,7
35,1992-08-01,0.0,1992,8
36,1992-09-01,0.0,1992,9
37,1992-10-01,0.0,1992,10
38,1992-11-01,3.7,1992,11
39,1992-12-01,10.9,1992,12
40,1993-01-01,17.5,1993,1
41,1993-02-01,30.2,1993,2
42,1993-03-01,41.1,1993,3
43,1993-04-01,48.5,1993,4
44,1993-05-01,57.0,1993,5
45,1993-06-01,37.8,1993,6
46,1993-07-01,0.0,1993,7
47,1993-08-01,0.0,1993,8
48,1993-09-01,0.0,1993,9
49,1993-10-01,0.0,1993,10
50,1993-11-01,0.7,1993,11
51,1993-12-01,4.0,1993,12
52,1994-01-01,6.3,1994,1
53,1994-02-01,12.0,1994,2
54,1994-03-01,23.7,1994,3
55,1994-04-01,28.7,1994,4
56,1994-05-01,29.0,1994,5
57,1994-06-01,0.5,1994,6
58,1994-07-01,0.0,1994,7
59,1994-08-01,0.0,1994,8
60,1994-09-01,0.0,1994,9
61,1994-10-01,0.0,1994,10
62,1994-11-01,1.9,1994,11
63,1994-12-01,11.7,1994,12
64,1995-01-01,15.9,1995,1
65,1995-02-01,28.0,1995,2
66,1995-03-01,34.6,1995,3
67,1995-04-01,50.1,1995,4
68,1995-05-01,54.9,1995,5
69,1995-06-01,51.9,1995,6
70,1995-07-01,17.4,1995,7
71,1995-08-01,0.0,1995,8
72,1995-09-01,0.0,1995,9
73,1995-10-01,0.0,1995,10
74,1995-11-01,0.4,1995,11
75,1995-12-01,5.2,1995,12
